nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.415994720E-01  1.883289032E-01 -1.638511505E-01  0.000000000E+00  6.361496199E-03 -1.638511505E-01  1.883289032E-01  1.415994720E-01 
         2  1.415640259E-01  1.883569031E-01 -1.638500214E-01  0.000000000E+00  5.546716500E-03 -1.638500214E-01  1.883569031E-01  1.415640259E-01 
         3  1.416530609E-01  1.882844391E-01 -1.638443146E-01  0.000000000E+00  1.800746374E-02 -1.638443146E-01  1.882844391E-01  1.416530609E-01 
         4  1.415967684E-01  1.883279487E-01 -1.638389004E-01  1.841564033E-03  0.000000000E+00 -1.638389004E-01  1.883279487E-01  1.415967684E-01 
         5  1.416996307E-01  1.882457886E-01 -1.638383789E-01  0.000000000E+00  3.217921293E-02 -1.638383789E-01  1.882457886E-01  1.416996307E-01 
         6  1.415616212E-01  1.883553291E-01 -1.638362862E-01  2.016780859E-03  0.000000000E+00 -1.638362862E-01  1.883553291E-01  1.415616212E-01 
         7  1.416494574E-01  1.882841894E-01 -1.638320179E-01  1.892924438E-03  0.000000000E+00 -1.638320179E-01  1.882841894E-01  1.416494574E-01 
         8  1.417441254E-01  1.882085266E-01 -1.638313599E-01  0.000000000E+00  3.859778682E-02 -1.638313599E-01  1.882085266E-01  1.417441254E-01 
         9  1.416960745E-01  1.882461111E-01 -1.638284817E-01  1.534789553E-03  0.000000000E+00 -1.638284817E-01  1.882461111E-01  1.416960745E-01 
        10  1.415936478E-01  1.883267334E-01 -1.638243134E-01  4.111249974E-03  0.000000000E+00 -1.638243134E-01  1.883267334E-01  1.415936478E-01 
        11  1.417410548E-01  1.882091357E-01 -1.638241197E-01  1.192760276E-03  0.000000000E+00 -1.638241197E-01  1.882091357E-01  1.417410548E-01 
        12  1.415588725E-01  1.883533530E-01 -1.638198900E-01  4.561901668E-03  0.000000000E+00 -1.638198900E-01  1.883533530E-01  1.415588725E-01 
        13  1.416452479E-01  1.882838204E-01 -1.638173492E-01  4.083584665E-03  0.000000000E+00 -1.638173492E-01  1.882838204E-01  1.416452479E-01 
        14  1.416918632E-01  1.882464466E-01 -1.638165785E-01  3.264736164E-03  0.000000000E+00 -1.638165785E-01  1.882464466E-01  1.416918632E-01 
        15  1.417373562E-01  1.882098435E-01 -1.638152973E-01  2.595289938E-03  0.000000000E+00 -1.638152973E-01  1.882098435E-01  1.417373562E-01 
        16  1.417661743E-01  1.881861877E-01 -1.638126373E-01  0.000000000E+00  3.360062180E-02 -1.638126373E-01  1.881861877E-01  1.417661743E-01 
        17  1.414772339E-01  1.884159241E-01 -1.638099060E-01  0.000000000E+00 -3.855701902E-03 -1.638099060E-01  1.884159241E-01  1.414772339E-01 
        18  1.415899223E-01  1.883253088E-01 -1.638070026E-01  7.084223793E-03  0.000000000E+00 -1.638070026E-01  1.883253088E-01  1.415899223E-01 
        19  1.417328928E-01  1.882106447E-01 -1.638044418E-01  4.332260369E-03  0.000000000E+00 -1.638044418E-01  1.882106447E-01  1.417328928E-01 
        20  1.417622449E-01  1.881871539E-01 -1.638041062E-01  1.470146906E-03  0.000000000E+00 -1.638041062E-01  1.881871539E-01  1.417622449E-01 
        21  1.416868622E-01  1.882467914E-01 -1.638022323E-01  5.379016147E-03  0.000000000E+00 -1.638022323E-01  1.882467914E-01  1.416868622E-01 
        22  1.415555284E-01  1.883510482E-01 -1.638003331E-01  8.027208099E-03  0.000000000E+00 -1.638003331E-01  1.883510482E-01  1.415555284E-01 
        23  1.416402822E-01  1.882833470E-01 -1.637998950E-01  6.865143699E-03  0.000000000E+00 -1.637998950E-01  1.882833470E-01  1.416402822E-01 
        24  1.417575670E-01  1.881882715E-01 -1.637938219E-01  3.157440520E-03  0.000000000E+00 -1.637938219E-01  1.881882715E-01  1.417575670E-01 
        25  1.414761339E-01  1.884123577E-01 -1.637924147E-01  2.926270023E-03  0.000000000E+00 -1.637924147E-01  1.884123577E-01  1.414761339E-01 
        26  1.417258080E-01  1.882130872E-01 -1.637918192E-01  6.339883118E-03  0.000000000E+00 -1.637918192E-01  1.882130872E-01  1.417258080E-01 
        27  1.415829027E-01  1.883258858E-01 -1.637872312E-01  1.139806901E-02  0.000000000E+00 -1.637872312E-01  1.883258858E-01  1.415829027E-01 
        28  1.416785378E-01  1.882491795E-01 -1.637854945E-01  9.064981338E-03  0.000000000E+00 -1.637854945E-01  1.882491795E-01  1.416785378E-01 
        29  1.417519949E-01  1.881895416E-01 -1.637813305E-01  5.266790398E-03  0.000000000E+00 -1.637813305E-01  1.881895416E-01  1.417519949E-01 
        30  1.416317397E-01  1.882851236E-01 -1.637800701E-01  1.291383117E-02  0.000000000E+00 -1.637800701E-01  1.882851236E-01  1.416317397E-01 
        31  1.415484011E-01  1.883508384E-01 -1.637771340E-01  1.395680263E-02  0.000000000E+00 -1.637771340E-01  1.883508384E-01  1.415484011E-01 
        32  1.414750228E-01  1.884079582E-01 -1.637716101E-01  6.990421028E-03  0.000000000E+00 -1.637716101E-01  1.884079582E-01  1.414750228E-01 
        33  1.417437493E-01  1.881926227E-01 -1.637675771E-01  8.593963706E-03  0.000000000E+00 -1.637675771E-01  1.881926227E-01  1.417437493E-01 
        34  1.413748322E-01  1.884855652E-01 -1.637625732E-01  0.000000000E+00 -7.606088416E-02 -1.637625732E-01  1.884855652E-01  1.413748322E-01 
        35  1.418179169E-01  1.881312561E-01 -1.637588501E-01  0.000000000E+00  3.589658102E-02 -1.637588501E-01  1.881312561E-01  1.418179169E-01 
        36  1.417057865E-01  1.882186572E-01 -1.637508970E-01  1.190421040E-02  0.000000000E+00 -1.637508970E-01  1.882186572E-01  1.417057865E-01 
        37  1.418113690E-01  1.881334493E-01 -1.637469341E-01  2.884064222E-03  0.000000000E+00 -1.637469341E-01  1.881334493E-01  1.418113690E-01 
        38  1.414734970E-01  1.884028765E-01 -1.637468175E-01  1.285623811E-02  0.000000000E+00 -1.637468175E-01  1.884028765E-01  1.414734970E-01 
        39  1.413762938E-01  1.884791599E-01 -1.637419510E-01  5.054553367E-03  0.000000000E+00 -1.637419510E-01  1.884791599E-01  1.413762938E-01 
        40  1.418035967E-01  1.881360257E-01 -1.637326839E-01  6.036782605E-03  0.000000000E+00 -1.637326839E-01  1.881360257E-01  1.418035967E-01 
        41  1.413103790E-01  1.885269928E-01 -1.637233124E-01  0.000000000E+00 -1.237255687E-01 -1.637233124E-01  1.885269928E-01  1.413103790E-01 
        42  1.413783268E-01  1.884713242E-01 -1.637174925E-01  1.261399977E-02  0.000000000E+00 -1.637174925E-01  1.884713242E-01  1.413783268E-01 
        43  1.414679299E-01  1.883997002E-01 -1.637168401E-01  2.672435554E-02  0.000000000E+00 -1.637168401E-01  1.883997002E-01  1.414679299E-01 
        44  1.417944294E-01  1.881390007E-01 -1.637156247E-01  9.841712199E-03  0.000000000E+00 -1.637156247E-01  1.881390007E-01  1.417944294E-01 
        45  1.415828852E-01  1.883074984E-01 -1.637147613E-01  2.642574108E-02  0.000000000E+00 -1.637147613E-01  1.883074984E-01  1.415828852E-01 
