nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  1.346871338E-01  1.830938416E-01 -1.642442017E-01 -1.639956400E-02  1.230142222E+00  1.266333112E+00  1.766247446E+00  5.877374431E+01 -1.642442017E-01  1.830938416E-01  1.346871338E-01 
         2  1.348691864E-01  1.830885620E-01 -1.642435455E-01  1.154478585E-02  1.379355566E+00  1.364832206E+00  1.941941866E+00  6.034498481E+01 -1.642435455E-01  1.830885620E-01  1.348691864E-01 
         3  1.350995636E-01  1.830818939E-01 -1.642427216E-01  9.721737354E-02  1.682529251E+00  1.900894431E+00  2.546838771E+00  6.155023199E+01 -1.642427216E-01  1.830818939E-01  1.350995636E-01 
         4  1.347102509E-01  1.828929291E-01 -1.642419281E-01 -2.854811830E-02  1.029909102E+00  9.777290795E-01  1.421725868E+00  5.711101186E+01 -1.642419281E-01  1.828929291E-01  1.347102509E-01 
         5  1.348963470E-01  1.828748016E-01 -1.642411194E-01  2.549274595E-02  1.210138852E+00  1.252451470E+00  1.747723600E+00  5.907423461E+01 -1.642411194E-01  1.828748016E-01  1.348963470E-01 
         6  1.347316589E-01  1.827069855E-01 -1.642398224E-01 -2.652223481E-03  8.740948037E-01  9.497682419E-01  1.294860779E+00  5.528363056E+01 -1.642398224E-01  1.827069855E-01  1.347316589E-01 
         7  1.348750610E-01  1.832891693E-01 -1.642394257E-01  1.002103189E-02  1.589769418E+00  1.728022266E+00  2.349178980E+00  6.179334156E+01 -1.642394257E-01  1.832891693E-01  1.348750610E-01 
         8  1.352614441E-01  1.832507172E-01 -1.642387238E-01  1.784798524E-01  2.217903935E+00  2.764494804E+00  3.554453839E+00  6.005813720E+01 -1.642387238E-01  1.832507172E-01  1.352614441E-01 
         9  1.345131836E-01  1.829196167E-01 -1.642351227E-01 -5.472631588E-02  1.001598220E+00  9.880893477E-01  1.409823605E+00  5.462233321E+01 -1.642351227E-01  1.829196167E-01  1.345131836E-01 
        10  1.350470581E-01  1.834679413E-01 -1.642350464E-01  4.846811985E-02  2.176147914E+00  2.637555924E+00  3.422491927E+00  6.195358546E+01 -1.642350464E-01  1.834679413E-01  1.350470581E-01 
        11  1.352532501E-01  1.834631805E-01 -1.642342834E-01  1.261573960E-01  2.436549760E+00  3.120865867E+00  3.963416651E+00  5.877727755E+01 -1.642342834E-01  1.834631805E-01  1.352532501E-01 
        12  1.354601898E-01  1.834584045E-01 -1.642330933E-01  2.699677991E-01  2.490897191E+00  3.547361698E+00  4.349055819E+00  5.500343599E+01 -1.642330933E-01  1.834584045E-01  1.354601898E-01 
        13  1.345240936E-01  1.827144623E-01 -1.642323303E-01 -5.577244515E-02  8.621602618E-01  8.050084063E-01  1.182034588E+00  5.214833789E+01 -1.642323303E-01  1.827144623E-01  1.345240936E-01 
        14  1.356281128E-01  1.836383667E-01 -1.642266846E-01  3.544615087E-01  2.447243741E+00  3.782097583E+00  4.532555091E+00  5.255164455E+01 -1.642266846E-01  1.836383667E-01  1.356281128E-01 
        15  1.343158417E-01  1.827219696E-01 -1.642248230E-01 -6.321236603E-02  9.890003359E-01  8.759949414E-01  1.323255023E+00  4.868571563E+01 -1.642248230E-01  1.827219696E-01  1.343158417E-01 
        16  1.345410614E-01  1.825150452E-01 -1.642239075E-01 -3.278125086E-02  6.364597500E-01  6.810959165E-01  9.401392578E-01  4.976274963E+01 -1.642239075E-01  1.825150452E-01  1.345410614E-01 
        17  1.352049408E-01  1.836349335E-01 -1.642234344E-01  7.985468617E-02  2.520985729E+00  3.245220718E+00  4.114514083E+00  5.967878925E+01 -1.642234344E-01  1.836349335E-01  1.352049408E-01 
        18  1.358120575E-01  1.838354950E-01 -1.642196655E-01  3.501795835E-01  2.547050139E+00  4.233774838E+00  4.972888085E+00  4.707105979E+01 -1.642196655E-01  1.838354950E-01  1.358120575E-01 
        19  1.343427582E-01  1.825128174E-01 -1.642163239E-01 -7.504038019E-02  8.469768111E-01  6.748591800E-01  1.091454025E+00  4.619563338E+01 -1.642163239E-01  1.825128174E-01  1.343427582E-01 
        20  1.359981537E-01  1.840413666E-01 -1.642126312E-01  2.221014617E-01  2.811552841E+00  4.478918630E+00  5.305279415E+00  3.991165716E+01 -1.642126312E-01  1.840413666E-01  1.359981537E-01 
        21  1.343652496E-01  1.823379822E-01 -1.642092285E-01 -7.043845313E-02  6.463593681E-01  6.204294723E-01  9.036795016E-01  4.391580576E+01 -1.642092285E-01  1.823379822E-01  1.343652496E-01 
        22  1.353969727E-01  1.838380432E-01 -1.642093201E-01  5.728832520E-02  2.558525438E+00  3.439980955E+00  4.298661326E+00  5.744783029E+01 -1.642093201E-01  1.838380432E-01  1.353969727E-01 
